"","text"
"397","david crofts commentary   start   races  unbearable charles leclerc  attacking sergio perez  se "
"398","    max verstappen doesnt    sergio perez win  race       hu "
"399","lap max verstappen starts  pole position alongside red bull team mate sergio perez max beats sergio    "
"400","  drama  redbull  brazil  sergioperez rethinking   future "
"401","abu dhabi grand prix live max verstappen targets win  pole  lewis hamilton starting fifth  sergio  "
"402","sergio perez   day"
"403","results brazil  sergio perez red bull esteban ocon alpine valtteri bottas alfa romeo lance strol "
"404"," todays formula race   max verstappen sebastain vettle sergio perez charles leclerc mick schumache "
"405","abu dhabi grand prix bet boosts sergio perez  win outright   lewis hamilton fastest "
"406","hugoraphy sebastian vettel   time sergio perez   "
"407","skysportsf max verstappen sergio perez lewis hamilton"
"408","breaking charles leclerc   didnt   sleep  night      sergio perez kept knoc "
"409","scritchy paulmv fastestpitstop     racing  am  taking  races  perez  reacting  "
"410","   drivers     grabs    history  sergio perez  red bull heres  charles lec "
"411","williamhill yourodds lewis hamilton  win abu dhabi  grand prix sergio perez nd  sebastian vettel rd"
"412","   final time  season      charles leclerc  sergio prez   yas marina circuit abu  "
"413","red bull racing  mens sergio checo perez hooded sweatshirt yipfelp  "
"414"," george russell wins  abu dhabi gp   fastest lap  charles leclerc  sergio perez  collidin "
"415"," charles    look  pass perez    abudhabigp   secure     drivers standin "
